Year,Set Name,Language,Card #,Card Name,Rarity,Quantity,Edition,Cardmarket Price
2021,Ghosts From the Past,EN,GFTP-EN002,Laval Archer,Ultra Rare,1,1st Edition,0.13
2021,Ghosts From the Past,EN,GFTP-EN006,Nehshaddoll Genius,Ultra Rare,1,1st Edition,4.14
2021,Ghosts From the Past,EN,GFTP-EN009,Fairy Tail - Rochka,Ultra Rare,1,1st Edition,0.15
2021,Ghosts From the Past,EN,GFTP-EN017,Sunseed Twin,Ultra Rare,1,1st Edition,0.35
2021,Ghosts From the Past,EN,GFTP-EN018,Sunavalon Dryas,Ultra Rare,1,1st Edition,0.38
2021,Ghosts From the Past,EN,GFTP-EN019,Sunavalon Dryades,Ultra Rare,1,1st Edition,0.31
2021,Ghosts From the Past,EN,GFTP-EN024,Sunvine Thrasher,Ultra Rare,2,1st Edition,1.53
2021,Ghosts From the Past,EN,GFTP-EN025,Sunvine Shrine,Ultra Rare,1,1st Edition,0.4
2021,Ghosts From the Past,EN,GFTP-EN026,Sunavalon Bloom,Ultra Rare,1,1st Edition,0.24
2021,Ghosts From the Past,EN,GFTP-EN028,Starry Knight Rayel,Ultra Rare,1,1st Edition,0.64
2021,Ghosts From the Past,EN,GFTP-EN032,Starry Knight Sky,Ultra Rare,1,1st Edition,0.31
2021,Ghosts From the Past,EN,GFTP-EN034,Starry Knight Arrival,Ultra Rare,1,1st Edition,0.28
2021,Ghosts From the Past,EN,GFTP-EN035,Starry Knight Blast,Ultra Rare,1,1st Edition,0.17
2021,Ghosts From the Past,EN,GFTP-EN036,Dragunity Arma Gram,Ultra Rare,1,1st Edition,0.83
2021,Ghosts From the Past,EN,GFTP-EN037,Dragunity Legatus,Ultra Rare,1,1st Edition,2.94
2021,Ghosts From the Past,EN,GFTP-EN038,Dragunity Remus,Ultra Rare,1,1st Edition,6.24
2021,Ghosts From the Past,EN,GFTP-EN040,Dragunity Whirlwind,Ultra Rare,1,1st Edition,0.46
2021,Ghosts From the Past,EN,GFTP-EN042,Dragunity Oubliette,Ultra Rare,1,1st Edition,0.18
2021,Ghosts From the Past,EN,GFTP-EN046,Laval Volcano Handmaiden,Ultra Rare,1,1st Edition,0.07
2021,Ghosts From the Past,EN,GFTP-EN049,Hieratic Dragon of Eset,Ultra Rare,1,1st Edition,0.13
2021,Ghosts From the Past,EN,GFTP-EN052,Hieratic Sun Dragon Overlord of Heliopolis,Ultra Rare,1,1st Edition,0.54
2021,Ghosts From the Past,EN,GFTP-EN053,Hieratic Seal of The Heavenly Spheres,Ultra Rare,1,1st Edition,1.71
2021,Ghosts From the Past,EN,GFTP-EN055,Hieratic Seal of Supremacy,Ultra Rare,2,1st Edition,0.07
2021,Ghosts From the Past,EN,GFTP-EN056,Hieratic Seal of Banishment,Ultra Rare,1,1st Edition,0.07
2021,Ghosts From the Past,EN,GFTP-EN057,Hieratic Seal of Reflection,Ultra Rare,1,1st Edition,0.14
2021,Ghosts From the Past,EN,GFTP-EN058,Hieratic Seal from the Ashes,Ultra Rare,1,1st Edition,0.12
2021,Ghosts From the Past,EN,GFTP-EN062,Time Thief Regulator,Ultra Rare,1,1st Edition,0.06
2021,Ghosts From the Past,EN,GFTP-EN063,Time Thief Chronocorder,Ultra Rare,1,1st Edition,0.07
2021,Ghosts From the Past,EN,GFTP-EN064,Time Thief Redoer,Ultra Rare,1,1st Edition,0.21
2021,Ghosts From the Past,EN,GFTP-EN067,Time Thief Startup,Ultra Rare,1,1st Edition,0.07
2021,Ghosts From the Past,EN,GFTP-EN069,Time Thief Retrograde,Ultra Rare,1,1st Edition,0.1
2021,Ghosts From the Past,EN,GFTP-EN071,Hyozanryu,Ultra Rare,1,1st Edition,0.14
2021,Ghosts From the Past,EN,GFTP-EN073,Dragunity Phalanx,Ultra Rare,1,1st Edition,0.41
2021,Ghosts From the Past,EN,GFTP-EN076,Mist Valley Baby Roc,Ultra Rare,1,1st Edition,0.25
2021,Ghosts From the Past,EN,GFTP-EN077,Evil Thorn,Ultra Rare,1,1st Edition,0.09
2021,Ghosts From the Past,EN,GFTP-EN078,Mine Mole,Ultra Rare,2,1st Edition,0.12
2021,Ghosts From the Past,EN,GFTP-EN081,Tackle Crusader,Ultra Rare,1,1st Edition,0.09
2021,Ghosts From the Past,EN,GFTP-EN082,Thestalos the Mega Monarch,Ultra Rare,1,1st Edition,0.29
2021,Ghosts From the Past,EN,GFTP-EN083,Re-Cover,Ultra Rare,1,1st Edition,0.04
2021,Ghosts From the Past,EN,GFTP-EN085,Kozmo Tincan,Ultra Rare,1,1st Edition,0.42
2021,Ghosts From the Past,EN,GFTP-EN086,Kozmoll Dark Lady,Ultra Rare,1,1st Edition,0.39
2021,Ghosts From the Past,EN,GFTP-EN090,Danger! Thunderbird!,Ultra Rare,1,1st Edition,1.17
2021,Ghosts From the Past,EN,GFTP-EN093,Dragon Knight Draco-Equiste,Ultra Rare,1,1st Edition,0.12
2021,Ghosts From the Past,EN,GFTP-EN094,Metalfoes Orichalc,Ultra Rare,1,1st Edition,0.04
2021,Ghosts From the Past,EN,GFTP-EN097,Buster Dragon,Ultra Rare,1,1st Edition,0.27
2021,Ghosts From the Past,EN,GFTP-EN098,Artifact Durendal,Ultra Rare,2,1st Edition,0.18
2021,Ghosts From the Past,EN,GFTP-EN099,Dark Requiem Xyz Dragon,Ultra Rare,2,1st Edition,0.2
2021,Ghosts From the Past,EN,GFTP-EN101,Metalfoes Silverd,Ultra Rare,2,1st Edition,0.07
2021,Ghosts From the Past,EN,GFTP-EN103,Metalfoes Volflame,Ultra Rare,1,1st Edition,0.11
2021,Ghosts From the Past,EN,GFTP-EN104,Madolche Fresh Sistart,Ultra Rare,1,1st Edition,0.12
2021,Ghosts From the Past,EN,GFTP-EN105,Update Jammer,Ultra Rare,1,1st Edition,0.14
2021,Ghosts From the Past,EN,GFTP-EN106,Splash Mage,Ultra Rare,1,1st Edition,0.13
2021,Ghosts From the Past,EN,GFTP-EN107,Salvage,Ultra Rare,1,1st Edition,0.05
2021,Ghosts From the Past,EN,GFTP-EN108,Geartown,Ultra Rare,2,1st Edition,0.04
2021,Ghosts From the Past,EN,GFTP-EN109,Emergency Teleport,Ultra Rare,1,1st Edition,1.04
2021,Ghosts From the Past,EN,GFTP-EN110,Ojama Country,Ultra Rare,2,1st Edition,0.4
2021,Ghosts From the Past,EN,GFTP-EN112,Mask Change,Ultra Rare,1,1st Edition,0.11
2021,Ghosts From the Past,EN,GFTP-EN113,Mask Change II,Ultra Rare,1,1st Edition,0.13
2021,Ghosts From the Past,EN,GFTP-EN115,Resonator Call,Ultra Rare,1,1st Edition,0.12
2021,Ghosts From the Past,EN,GFTP-EN116,Xyz Burst,Ultra Rare,2,1st Edition,0.06
2021,Ghosts From the Past,EN,GFTP-EN118,Metalfoes Fusion,Ultra Rare,1,1st Edition,0.19
2021,Ghosts From the Past,EN,GFTP-EN119,Orcustrated Return,Ultra Rare,1,1st Edition,0.87
2021,Ghosts From the Past,EN,GFTP-EN120,Royal Prison,Ultra Rare,1,1st Edition,0.1
2021,Ghosts From the Past,EN,GFTP-EN122,Phantom Knights' Fog Blade,Ultra Rare,1,1st Edition,0.86
2021,Ghosts From the Past,EN,GFTP-EN124,Metalfoes Counter,Ultra Rare,1,1st Edition,0.06
2021,Ghosts From the Past,EN,GFTP-EN132,Black Luster Soldier - Soldier of Chaos,Ghost Rare,1,1st Edition,58.6
2021,Ignition Assault,FR,IGAS-FR000,Annihilator Archfiend,Rare,2,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR003,Doyon @Ignister,Ultra Rare,1,1st Edition,0.36
2021,Ignition Assault,FR,IGAS-FR005,Hiyari @Ignister,Common,3,1st Edition,0.08
2021,Ignition Assault,FR,IGAS-FR006,Doshin @Ignister,Common,4,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR007,Donyoribo @Ignister,Common,4,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR009,Ancient Warriors - Graceful Zhou Gong,Rare,2,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR010,Ancient Warriors - Eccentric Lu Jing,Rare,1,1st Edition,0.1
2021,Ignition Assault,FR,IGAS-FR011,Ancient Warriors - Virtuous Liu Xuan,Ultra Rare,1,1st Edition,2.68
2021,Ignition Assault,FR,IGAS-FR012,Ancient Warriors - Loyal Guan Yun,Super Rare,1,1st Edition,0.2
2021,Ignition Assault,FR,IGAS-FR013,Ancient Warriors - Valiant Zhang De,Rare,2,1st Edition,0.14
2021,Ignition Assault,FR,IGAS-FR014,Karakuri Bonze mdl 9763 Kunamzan,Common,3,1st Edition,0.09
2021,Ignition Assault,FR,IGAS-FR015,Karakuri Gama mdl 4624 Shirokunishi,Common,4,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR016,Chronomaly Tuspa Rocket,Common,5,1st Edition,0.13
2021,Ignition Assault,FR,IGAS-FR017,Arcjet Lightcraft,Rare,1,1st Edition,0.11
2021,Ignition Assault,FR,IGAS-FR018,Time Thief Chronocorder,Common,4,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR019,Abominable Unchained Soul,Super Rare,1,1st Edition,0.56
2021,Ignition Assault,FR,IGAS-FR021,Witchcrafter Genni,Super Rare,2,1st Edition,0.36
2021,Ignition Assault,FR,IGAS-FR022,"Utgarda, Generaider Boss of Delusion",Super Rare,1,1st Edition,0.08
2021,Ignition Assault,FR,IGAS-FR023,Ghostrick Fairy,Common,4,1st Edition,0.11
2021,Ignition Assault,FR,IGAS-FR025,Cataclysmic Crusted Calcifida,Common,5,1st Edition,0.02
2021,Ignition Assault,FR,IGAS-FR026,Jack-o-Bolan,Super Rare,2,1st Edition,0.55
2021,Ignition Assault,FR,IGAS-FR028,Obsessive Uvualoop,Common,4,1st Edition,0
2021,Ignition Assault,FR,IGAS-FR029,Daruma Dropper,Common,3,1st Edition,0.03
2021,Ignition Assault,FR,IGAS-FR030,Transcicada,Common,5,1st Edition,0.04
2021,Ignition Assault,FR,IGAS-FR031,Squeaknight,Common,2,1st Edition,0.05
2021,Ignition Assault,FR,IGAS-FR032,Battle Survivor,Common,1,1st Edition,0.04
2021,Ignition Assault,FR,IGAS-FR033,Cupid Serve,Common,1,1st Edition,0.49
2021,Ignition Assault,FR,IGAS-FR034,Water Leviathan @Ignister,Common,5,1st Edition,0.07
2021,Ignition Assault,FR,IGAS-FR035,Megalith Ophiel,Super Rare,3,1st Edition,0.17
2021,Ignition Assault,FR,IGAS-FR036,Megalith Hagith,Common,4,1st Edition,0.17
2021,Ignition Assault,FR,IGAS-FR037,Megalith Och,Common,3,1st Edition,0.08
2021,Ignition Assault,FR,IGAS-FR038,Megalith Phaleg,Common,3,1st Edition,0.16
2021,Ignition Assault,FR,IGAS-FR039,Megalith Bethor,Common,4,1st Edition,0.1
